host	n_obs_alone	n_obs_with_par	n_obs_tot	known_plant	selection_test_01	phylum	class	order	family	subfamily	tribe	genus	n_in_10_best_march_2019	n_obs_with_col_event	n_col_event
abacena_accincta	79	2	81	0	n	Arthropoda	Insecta	Lepidoptera	Noctuidae	Acontiinae	NA	Abacena	NA	58	40
accinctapubes_albifasciata	22	34	56	1	n	Arthropoda	Insecta	Lepidoptera	Pyralidae	Epipaschiinae	NA	Accinctapubes	NA	5	5
accinctapubes_albifasciatadhj01	145	36	181	58	n	Arthropoda	Insecta	Lepidoptera	Pyralidae	Epipaschiinae	NA	Accinctapubes	NA	110	47
accinctapubes_albifasciatadhj02	133	11	144	49	n	Arthropoda	Insecta	Lepidoptera	Pyralidae	Epipaschiinae	NA	Accinctapubes	NA	107	48
accinctapubes_albifasciatadhj03	45	6	51	13	n	Arthropoda	Insecta	Lepidoptera	Pyralidae	Epipaschiinae	NA	Accinctapubes	NA	40	31
achalarus_toxeus	5	2	7	5	n	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Eudaminae	NA	Achalarus	NA	5	5
acharia_apicalis	51	16	67	0	n	Arthropoda	Insecta	Lepidoptera	Limacodidae	Limacodinae	NA	Acharia	4	51	39
acharia_horridadhj01	8	1	9	0	n	Arthropoda	Insecta	Lepidoptera	Limacodidae	Limacodinae	NA	Acharia	NA	7	7
acharia_horridadhj02	81	3	84	0	n	Arthropoda	Insecta	Lepidoptera	Limacodidae	Limacodinae	NA	Acharia	NA	67	37
acharia_hyperoche	52	46	98	0	n	Arthropoda	Insecta	Lepidoptera	Limacodidae	Limacodinae	NA	Acharia	4	39	35
acharia_nesea	29	104	133	0	n	Arthropoda	Insecta	Lepidoptera	Limacodidae	Limacodinae	NA	Acharia	6	14	12
acharia_ophelians	100	121	221	0	n	Arthropoda	Insecta	Lepidoptera	Limacodidae	Limacodinae	NA	Acharia	4	92	54
acharia_sarans	43	16	59	0	n	Arthropoda	Insecta	Lepidoptera	Limacodidae	Limacodinae	NA	Acharia	NA	42	36
achlyodes_busirus	62	104	166	56	n	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Pyrginae	NA	Achlyodes	NA	54	52
achlyodes_pallida	35	37	72	27	n	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Pyrginae	NA	Achlyodes	NA	30	28
aclytia_heber	4	1	5	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Arctiinae	NA	Aclytia	NA	4	3
acraga_coa	20	4	24	0	n	Arthropoda	Insecta	Lepidoptera	Dalceridae	Acraginae	NA	Acraga	NA	18	17
acraga_hamata	21	2	23	0	n	Arthropoda	Insecta	Lepidoptera	Dalceridae	Acraginae	NA	Acraga	NA	21	18
acraga_philetera	20	3	23	0	n	Arthropoda	Insecta	Lepidoptera	Dalceridae	Acraginae	NA	Acraga	NA	15	14
acroria_poole02	15	1	16	0	n	Arthropoda	Insecta	Lepidoptera	Noctuidae	Noctuinae	Dypterygiini	Acroria	NA	15	10
acrotomia_mucia	57	35	92	0	n	Arthropoda	Insecta	Lepidoptera	Geometridae	Ennominae	NA	Acrotomia	NA	12	8
acrotomodes_boladhj01	14	1	15	0	n	Arthropoda	Insecta	Lepidoptera	Geometridae	Ennominae	NA	Acrotomodes	NA	7	7
adeloneivaia_isara	123	2	125	0	n	Arthropoda	Insecta	Lepidoptera	Saturniidae	Ceratocampinae	NA	Adeloneivaia	NA	121	27
adeloneivaia_jason	182	1	183	0	n	Arthropoda	Insecta	Lepidoptera	Saturniidae	Ceratocampinae	NA	Adeloneivaia	NA	179	109
adelpha_aiellae	18	1	19	0	n	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Limenitidinae	NA	Adelpha	NA	17	15
adelpha_basiloides	7	37	44	0	n	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Limenitidinae	NA	Adelpha	NA	7	5
adelpha_celerio	11	1	12	0	n	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Limenitidinae	NA	Adelpha	NA	4	4
adelpha_cytherea	11	18	29	0	n	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Limenitidinae	NA	Adelpha	NA	11	11
adelpha_fessonia	19	7	26	0	n	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Limenitidinae	NA	Adelpha	NA	19	16
adelpha_iphicleola	65	9	74	0	n	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Limenitidinae	NA	Adelpha	NA	52	41
adelpha_iphiclus	40	3	43	0	n	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Limenitidinae	NA	Adelpha	NA	33	23
adelpha_leucophthalma	27	2	29	0	n	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Limenitidinae	NA	Adelpha	NA	27	23
adelpha_lorzae	28	1	29	0	n	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Limenitidinae	NA	Adelpha	NA	25	25
adelpha_melanthe	95	7	102	0	n	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Limenitidinae	NA	Adelpha	NA	71	58
adelpha_phylaca	0	1	1	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
adelpha_salmonides	27	9	36	0	n	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Limenitidinae	NA	Adelpha	NA	27	27
adhemarius_daphne	2	3	5	0	n	Arthropoda	Insecta	Lepidoptera	Sphingidae	Smerinthinae	Ambulycini	Adhemarius	NA	2	2
adhemarius_fulvescens	59	1	60	0	n	Arthropoda	Insecta	Lepidoptera	Sphingidae	Smerinthinae	Ambulycini	Adhemarius	NA	59	44
adhemarius_ypsilon	132	49	181	0	n	Arthropoda	Insecta	Lepidoptera	Sphingidae	Smerinthinae	Ambulycini	Adhemarius	NA	130	87
adiopa_poole01	9	1	10	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Calpinae	NA	Adiopa	NA	9	8
aellopos_ceculus	121	69	190	0	n	Arthropoda	Insecta	Lepidoptera	Sphingidae	Macroglossinae	Dilophonotini	Aellopos	4	116	88
aellopos_fadus	59	62	121	0	n	Arthropoda	Insecta	Lepidoptera	Sphingidae	Macroglossinae	Dilophonotini	Aellopos	2	58	47
aellopos_titan	52	43	95	0	n	Arthropoda	Insecta	Lepidoptera	Sphingidae	Macroglossinae	Dilophonotini	Aellopos	1	49	43
aesiocopa_necrofolia	4	17	21	0	n	Arthropoda	Insecta	Lepidoptera	Tortricidae	Tortricinae	NA	Aesiocopa	NA	4	4
aesiocopa_necrofoliadhj01	11	1	12	0	n	Arthropoda	Insecta	Lepidoptera	Tortricidae	Tortricinae	NA	Aesiocopa	NA	4	3
aethilla_lavochrea	1	5	6	1	n	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Pyrginae	NA	Aethilla	NA	1	1
aethria_espinoza01	40	2	42	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Arctiinae	Arctiini	Aethria	NA	26	22
agaraea_minuta	64	100	164	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Arctiinae	Arctiini	Agaraea	NA	61	46
agaraea_schausi	1	2	3	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Arctiinae	Arctiini	Agaraea	NA	1	1
agathodes_designalis	69	6	75	6	n	Arthropoda	Insecta	Lepidoptera	Crambidae	Spilomelinae	NA	Agathodes	NA	58	40
agraulis_vanillae	20	3	23	0	n	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Heliconiinae	NA	Agraulis	NA	14	13
agrius_cingulata	96	38	134	0	n	Arthropoda	Insecta	Lepidoptera	Sphingidae	Sphinginae	Sphingini	Agrius	NA	95	53
aguna_arunce	7	4	11	6	n	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Eudaminae	NA	Aguna	NA	6	6
aguna_asander	51	29	80	24	n	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Eudaminae	NA	Aguna	NA	49	40
aguna_burns01	19	8	27	17	n	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Eudaminae	NA	Aguna	NA	13	13
aguna_burns02	40	22	62	32	n	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Eudaminae	NA	Aguna	NA	24	24
aguna_coeloides	19	13	32	17	n	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Eudaminae	NA	Aguna	NA	11	10
aguna_panama	12	2	14	12	n	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Eudaminae	NA	Aguna	NA	12	12
aides_brino	72	9	81	43	n	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Hesperiinae	NA	Aides	NA	59	58
aides_burns01	25	3	28	13	n	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Hesperiinae	NA	Aides	NA	15	14
aithorape_roseicornis	15	2	17	0	n	Arthropoda	Insecta	Lepidoptera	Megalopygidae	Trosiinae	NA	Aithorape	NA	15	8
alesua_janzen178	1	1	2	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Hypeninae	NA	Alesua	NA	1	1
alesua_poole01	26	11	37	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Hypeninae	NA	Alesua	NA	20	17
aleuron_carinata	16	2	18	0	n	Arthropoda	Insecta	Lepidoptera	Sphingidae	Macroglossinae	Dilophonotini	Aleuron	NA	15	15
aleuron_chloroptera	4	2	6	0	n	Arthropoda	Insecta	Lepidoptera	Sphingidae	Macroglossinae	Dilophonotini	Aleuron	NA	4	4
aleuron_iphis	8	10	18	0	n	Arthropoda	Insecta	Lepidoptera	Sphingidae	Macroglossinae	Dilophonotini	Aleuron	NA	8	8
amaxia_apyga	87	1	88	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Arctiinae	NA	Amaxia	NA	80	59
ammalo_helops	53	55	108	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Arctiinae	NA	Ammalo	4	53	39
amorbia_productana	214	5	219	0	n	Arthropoda	Insecta	Lepidoptera	Tortricidae	Tortricinae	NA	Amorbia	NA	139	111
amorbia_revolutana	82	2	84	0	n	Arthropoda	Insecta	Lepidoptera	Tortricidae	Tortricinae	NA	Amorbia	NA	54	42
amphimoea_walkeri	9	17	26	0	n	Arthropoda	Insecta	Lepidoptera	Sphingidae	Sphinginae	Sphingini	Amphimoea	NA	6	6
amphonyx_duponchel	0	42	42	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
amyna_axis	25	5	30	0	n	Arthropoda	Insecta	Lepidoptera	Noctuidae	Bagisarinae	NA	Amyna	NA	25	19
anacampsis_janzen353	13	17	30	4	n	Arthropoda	Insecta	Lepidoptera	Gelechiidae	Anacampsinae	NA	Anacampsis	NA	10	6
anacrusis_ellensatterleeae	51	6	57	0	n	Arthropoda	Insecta	Lepidoptera	Tortricidae	Tortricinae	NA	Anacrusis	NA	45	32
anacrusis_nephrodes	956	176	1132	3	n	Arthropoda	Insecta	Lepidoptera	Tortricidae	Tortricinae	NA	Anacrusis	NA	544	316
anacrusis_terrimccarthyae	11	2	13	0	n	Arthropoda	Insecta	Lepidoptera	Tortricidae	Tortricinae	NA	Anacrusis	NA	11	9
anacrusis_turrialbae	238	1	239	1	n	Arthropoda	Insecta	Lepidoptera	Tortricidae	Tortricinae	NA	Anacrusis	NA	177	128
anadasmus_janzen08	5	1	6	2	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Anadasmus	NA	5	5
anadasmus_janzen16	182	10	192	96	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Anadasmus	NA	114	79
anadasmus_janzen17	225	3	228	116	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Anadasmus	NA	154	120
anadasmus_janzen25	69	72	141	39	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Anadasmus	NA	56	50
anadasmus_janzen26	43	7	50	26	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Anadasmus	NA	36	30
anadasmus_janzen28	100	4	104	67	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Anadasmus	NA	97	73
anadasmus_janzen29	30	1	31	13	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Anadasmus	NA	29	17
anadasmus_janzen30	17	5	22	16	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Anadasmus	NA	16	14
anadasmus_janzen41	34	1	35	19	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Anadasmus	NA	26	22
anadasmus_janzen42	120	5	125	72	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Anadasmus	NA	91	45
anadasmus_janzen51	53	7	60	10	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Anadasmus	NA	20	16
anaea_aidea	30	54	84	0	n	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Charaxinae	NA	Anaea	NA	30	26
anarmodia_nebulosalis	131	2	133	38	n	Arthropoda	Insecta	Lepidoptera	Crambidae	Spilomelinae	NA	Anarmodia	NA	101	70
anastrus_neaeris	32	2	34	25	n	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Pyrginae	NA	Anastrus	NA	28	27
anastrus_sempiternus	30	1	31	28	n	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Pyrginae	NA	Anastrus	NA	21	21
ancyluris_inca	62	5	67	0	n	Arthropoda	Insecta	Lepidoptera	Riodinidae	Riodininae	NA	Ancyluris	NA	51	48
anicla_ignicans	33	4	37	0	n	Arthropoda	Insecta	Lepidoptera	Noctuidae	Noctuinae	Noctuini	Anicla	NA	24	21
anisochoria_polysticta	6	2	8	6	n	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Pyrginae	NA	Anisochoria	NA	6	6
anomis_cataggelus	51	1	52	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Scoliopteryginae	Anomini	Anomis	NA	51	39
anomis_directilinea	37	1	38	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Scoliopteryginae	Anomini	Anomis	NA	32	29
anomis_editrix	80	6	86	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Scoliopteryginae	Anomini	Anomis	NA	54	50
anomis_luridula	185	42	227	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Scoliopteryginae	Anomini	Anomis	NA	167	102
antaea_lichyi	46	14	60	0	n	Arthropoda	Insecta	Lepidoptera	Notodontidae	Heterocampinae	NA	Antaea	NA	40	37
antaea_licormas	16	1	17	0	n	Arthropoda	Insecta	Lepidoptera	Notodontidae	Heterocampinae	NA	Antaea	NA	16	16
antaeotricha_biolep38	53	10	63	16	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	45	31
antaeotricha_biolep42	21	1	22	3	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	15	14
antaeotricha_biolep54	34	1	35	8	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	22	17
antaeotricha_biolep727	3	1	4	0	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	2	2
antaeotricha_biolep91	41	1	42	2	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	38	15
antaeotricha_caprimulgaepr01	14	12	26	0	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	13	9
antaeotricha_caprimulgaepr02	26	7	33	12	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	18	11
antaeotricha_cirrhoxanthadhj02	97	1	98	41	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	59	36
antaeotricha_fascicularis	35	6	41	11	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	29	26
antaeotricha_ianthina	4	1	5	0	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	1	1
antaeotricha_incrassatadhj02	163	13	176	74	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	112	61
antaeotricha_incrassatadhj03	87	3	90	36	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	74	40
antaeotricha_janzen07	157	16	173	32	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	71	46
antaeotricha_janzen08	31	1	32	17	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	31	24
antaeotricha_janzen09	70	46	116	42	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	59	34
antaeotricha_janzen10	31	1	32	4	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	18	15
antaeotricha_janzen106	53	8	61	3	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	29	14
antaeotricha_janzen110	160	15	175	73	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	132	70
antaeotricha_janzen12	89	2	91	24	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	65	49
antaeotricha_janzen126	62	10	72	18	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	42	28
antaeotricha_janzen127	10	1	11	1	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	2	2
antaeotricha_janzen128	61	4	65	16	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	50	13
antaeotricha_janzen13	24	15	39	12	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	13	13
antaeotricha_janzen134	38	7	45	11	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	23	16
antaeotricha_janzen146	200	63	263	90	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	150	77
antaeotricha_janzen15	17	3	20	2	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	14	7
antaeotricha_janzen150	24	2	26	5	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	21	17
antaeotricha_janzen198	28	1	29	3	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	22	17
antaeotricha_janzen204	139	3	142	24	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	83	59
antaeotricha_janzen209	3	1	4	0	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	3	3
antaeotricha_janzen221	217	15	232	53	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	157	79
antaeotricha_janzen222	55	3	58	22	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	34	18
antaeotricha_janzen224	347	6	353	124	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	279	121
antaeotricha_janzen225	5	6	11	2	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	4	4
antaeotricha_janzen23	78	2	80	60	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	69	41
antaeotricha_janzen233	85	5	90	12	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	55	22
antaeotricha_janzen238	10	1	11	2	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	7	6
antaeotricha_janzen24	116	31	147	34	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	76	59
antaeotricha_janzen245	76	12	88	26	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	56	27
antaeotricha_janzen290	174	8	182	81	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	10	135	89
antaeotricha_janzen30	100	1	101	48	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	99	62
antaeotricha_janzen301	45	2	47	5	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	43	17
antaeotricha_janzen31	331	37	368	136	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	247	135
antaeotricha_janzen321	36	2	38	3	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	15	4
antaeotricha_janzen322	17	2	19	5	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	12	8
antaeotricha_janzen364	27	2	29	1	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	18	7
antaeotricha_janzen365	29	2	31	15	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	10	23	22
antaeotricha_janzen366	45	37	82	6	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	21	15
antaeotricha_janzen370	2	3	5	0	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	2	2
antaeotricha_janzen39	44	1	45	19	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	42	15
antaeotricha_janzen40	6	6	12	6	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	6	5
antaeotricha_janzen401	34	1	35	11	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	25	22
antaeotricha_janzen412	10	5	15	0	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	7	5
antaeotricha_janzen433	20	1	21	3	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	18	14
antaeotricha_janzen45	23	1	24	4	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	21	20
antaeotricha_janzen49	62	4	66	34	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	58	24
antaeotricha_janzen66	5	2	7	0	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	3	3
antaeotricha_janzen727	27	9	36	12	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	19	9
antaeotricha_janzen76	105	3	108	70	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	88	59
antaeotricha_janzen77	82	20	102	39	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	69	50
antaeotricha_janzen776	34	1	35	0	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	20	11
antaeotricha_janzen78	10	10	20	3	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	7	6
antaeotricha_janzen84	33	1	34	31	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	33	17
antaeotricha_janzen86	62	4	66	30	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	52	36
antaeotricha_janzen88	172	31	203	52	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	117	79
antaeotricha_janzen888	3	14	17	0	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	3	2
antaeotricha_janzen890	16	1	17	0	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	13	8
antaeotricha_janzen91	22	6	28	15	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	21	16
antaeotricha_janzen98	83	1	84	42	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	74	34
antaeotricha_marmorea	148	5	153	57	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	119	76
antaeotricha_phaeoneura	17	1	18	9	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	9	9
antaeotricha_phillips01	65	8	73	50	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	62	34
antaeotricha_phillips02	123	4	127	58	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	99	48
antaeotricha_radicalis	134	59	193	64	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	81	56
antaeotricha_radicalisepr01	22	1	23	15	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	10	17	16
antaeotricha_radicalisepr03	350	13	363	161	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	10	234	168
antaeotricha_radicalisepr04	26	2	28	19	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	25	5
antaeotricha_renselariana	228	205	433	45	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	107	88
antaeotricha_ribbei	60	16	76	31	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	46	22
antaeotricha_similisepr01	88	2	90	42	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	70	30
antaeotricha_similisepr02	5	2	7	0	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	5	3
antaeotricha_spurca	107	11	118	54	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	81	54
antaeotricha_stigmatiasdhj01	77	5	82	20	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	51	36
antaeotricha_thapsinopa	62	2	64	20	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	43	26
antaeotricha_zelleriepr01	31	2	33	9	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	20	18
antaeotricha_zelleriepr02	26	3	29	8	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Antaeotricha	NA	25	18
antapistis_poole02	54	32	86	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Eulepidotinae	NA	Antapistis	NA	41	36
antapistis_poole05	30	8	38	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Eulepidotinae	NA	Antapistis	NA	18	10
