host	n_obs_alone	n_obs_with_par	n_obs_tot	known_plant	selection_test_01	phylum	class	order	family	subfamily	tribe	genus	n_in_10_best_march_2019	n_obs_with_col_event	n_col_event
egchiretes_nomimus	65	3	68	0	n	Arthropoda	Insecta	Lepidoptera	Nolidae	Chloephorinae	NA	Egchiretes	NA	47	26
egchiretes_poole01	111	192	303	1	n	Arthropoda	Insecta	Lepidoptera	Nolidae	Chloephorinae	NA	Egchiretes	NA	85	43
egchiretes_poole02	50	17	67	1	n	Arthropoda	Insecta	Lepidoptera	Nolidae	Chloephorinae	NA	Egchiretes	NA	37	28
elachbiolep01_biolep286	6	1	7	0	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	NA	NA	elachBioLep01	NA	1	1
elachbiolep01_biolep384	7	1	8	0	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	NA	NA	elachBioLep01	NA	6	5
elachbiolep01_biolep578	16	2	18	2	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	NA	NA	elachBioLep01	NA	7	4
elachbiolep01_biolep709	76	8	84	18	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	NA	NA	elachBioLep01	NA	42	23
elachbiolep01_biolep719	24	3	27	0	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	NA	NA	elachBioLep01	NA	8	5
elachbiolep01_biolep754	45	12	57	13	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	NA	NA	elachBioLep01	NA	37	19
elachbiolep01_biolep93	32	1	33	6	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	NA	NA	elachBioLep01	NA	30	23
elachbiolep01_janzen48	84	11	95	11	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	NA	NA	elachBioLep01	NA	51	31
elachjanzen01_janzen01	49	6	55	20	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	NA	NA	elachJanzen01	NA	40	35
elachjanzen01_janzen109	5	3	8	2	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	NA	NA	elachJanzen01	NA	5	5
elachjanzen01_janzen131	97	10	107	36	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	NA	NA	elachJanzen01	NA	67	56
elachjanzen01_janzen187	26	7	33	3	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	NA	NA	elachJanzen01	NA	9	9
elachjanzen01_janzen211	96	4	100	30	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	NA	NA	elachJanzen01	NA	76	44
elachjanzen01_janzen227	12	2	14	2	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	NA	NA	elachJanzen01	NA	10	10
elachjanzen01_janzen301	59	8	67	4	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	NA	NA	elachJanzen01	NA	40	25
elachjanzen01_janzen345	76	3	79	31	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	NA	NA	elachJanzen01	NA	70	35
elachjanzen01_janzen357	25	1	26	2	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	NA	NA	elachJanzen01	NA	12	11
elachjanzen01_janzen409	18	1	19	0	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	NA	NA	elachJanzen01	NA	5	3
